,id.orig_p,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
75,49024,6667,tcp,,3.105229,0.0,0.0,S0,0,S,3,180,0,0,Malicious
76,49024,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
77,49026,6667,tcp,,3.103231,0.0,0.0,S0,0,S,3,180,0,0,Malicious
78,49026,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
79,41096,80,tcp,,3.158703,0.0,0.0,S0,0,S,3,180,0,0,Benign
80,123,123,udp,,,,,S0,0,D,1,76,0,0,Benign
81,49030,6667,tcp,,3.101231,0.0,0.0,S0,0,S,3,180,0,0,Malicious
82,41096,80,tcp,http,0.885992,149.0,84592.0,SF,2896,ShADadtcfF,62,3689,60,84824,Benign
83,41100,80,tcp,,3.107729,0.0,0.0,S0,0,S,3,180,0,0,Benign
84,49030,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
85,49034,6667,tcp,,3.098977,0.0,0.0,S0,0,S,3,180,0,0,Malicious
86,41100,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
87,49034,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
88,49036,6667,tcp,,3.096735,0.0,0.0,S0,0,S,3,180,0,0,Malicious
89,41100,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
90,123,123,udp,,0.073952,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
91,49036,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
92,49038,6667,tcp,,3.094737,0.0,0.0,S0,0,S,3,180,0,0,Malicious
93,49038,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
94,41100,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
95,49040,6667,tcp,,3.092739,0.0,0.0,S0,0,S,3,180,0,0,Malicious
96,49040,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
97,49050,6667,tcp,,3.094738,0.0,0.0,S0,0,S,3,180,0,0,Malicious
98,49050,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
99,123,123,udp,,,,,S0,0,D,1,76,0,0,Benign
100,49052,6667,tcp,,3.092739,0.0,0.0,S0,0,S,3,180,0,0,Malicious
101,41100,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
102,49052,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
103,49054,6667,tcp,,3.090486,0.0,0.0,S0,0,S,3,180,0,0,Malicious
104,49054,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
105,49056,6667,tcp,,3.088476,0.0,0.0,S0,0,S,3,180,0,0,Malicious
106,123,123,udp,,0.023984,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
107,49056,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
108,49060,6667,tcp,,3.107985,0.0,0.0,S0,0,S,3,180,0,0,Malicious
109,49060,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
110,49072,6667,tcp,,3.112743,0.0,0.0,S0,0,S,3,180,0,0,Malicious
111,49072,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
112,49082,6667,tcp,,3.095254,0.0,0.0,S0,0,S,3,180,0,0,Malicious
113,123,123,udp,,,,,S0,0,D,1,76,0,0,Benign
114,49084,6667,tcp,,3.107988,0.0,0.0,S0,0,S,3,180,0,0,Malicious
115,41154,80,tcp,,3.158697,0.0,0.0,S0,0,S,3,180,0,0,Benign
116,49084,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
117,41154,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
118,49088,6667,tcp,,3.105976,0.0,0.0,S0,0,S,3,180,0,0,Malicious
119,49088,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
120,41154,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
121,123,123,udp,,0.001484,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
122,48994,6667,tcp,irc,1.128098,75.0,243.0,S3,0,ShAdDaf,7,447,6,563,Malicious
123,49090,6667,tcp,,3.103981,0.0,0.0,S0,0,S,3,180,0,0,Malicious
124,49090,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
125,41154,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
126,49094,6667,tcp,,3.083745,0.0,0.0,S0,0,S,3,180,0,0,Malicious
127,49002,6667,tcp,irc,1.484655,75.0,243.0,S3,0,ShAdDaf,7,447,8,667,Malicious
128,49000,6667,tcp,irc,4.095418,75.0,243.0,S3,0,ShAdDaf,9,567,6,563,Malicious
129,49094,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
130,49096,6667,tcp,,3.081995,0.0,0.0,S0,0,S,3,180,0,0,Malicious
131,49096,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
132,49098,6667,tcp,,3.1597,0.0,0.0,S0,0,S,3,180,0,0,Malicious
133,49098,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
134,41154,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
135,49104,6667,tcp,,3.095753,0.0,0.0,S0,0,S,3,180,0,0,Malicious
136,49104,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
137,49106,6667,tcp,,3.093494,0.0,0.0,S0,0,S,3,180,0,0,Malicious
138,123,123,udp,,0.001746,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
139,49012,6667,tcp,irc,1.329994,75.0,243.0,S3,0,ShAdDaf,8,559,7,627,Malicious
140,49106,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
141,49108,6667,tcp,,3.091487,0.0,0.0,S0,0,S,3,180,0,0,Malicious
142,123,123,udp,,,,,S0,0,D,1,76,0,0,Benign
143,123,123,udp,,,,,S0,0,D,1,76,0,0,Benign
144,49108,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
145,49110,6667,tcp,,3.089256,0.0,0.0,S0,0,S,3,180,0,0,Malicious
146,49110,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
147,49112,6667,tcp,,3.087235,0.0,0.0,S0,0,S,3,180,0,0,Malicious
148,49114,6667,tcp,,3.109975,0.0,0.0,S0,0,S,3,180,0,0,Malicious
149,49114,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
150,49116,6667,tcp,,3.107967,0.0,0.0,S0,0,S,3,180,0,0,Malicious
151,41186,80,tcp,,3.118724,0.0,0.0,S0,0,S,3,180,0,0,Benign
152,49116,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
153,49120,6667,tcp,,3.105494,0.0,0.0,S0,0,S,3,180,0,0,Malicious
154,41186,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
155,49120,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
156,123,123,udp,,0.001498,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
157,41186,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
158,49124,6667,tcp,,3.144719,0.0,0.0,S0,0,S,3,180,0,0,Malicious
159,123,123,udp,,,,,S0,0,D,1,76,0,0,Benign
160,49124,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
161,49126,6667,tcp,,3.142724,0.0,0.0,S0,0,S,3,180,0,0,Malicious
162,41186,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
163,49126,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
164,49128,6667,tcp,,3.140713,0.0,0.0,S0,0,S,3,180,0,0,Malicious
165,49128,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
166,49130,6667,tcp,,3.138715,0.0,0.0,S0,0,S,3,180,0,0,Malicious
167,49130,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
168,49132,6667,tcp,,3.136714,0.0,0.0,S0,0,S,3,180,0,0,Malicious
169,41186,80,tcp,http,1.143354,152.0,100178.0,SF,2896,ShADacdtfF,73,4696,71,100982,Benign
170,49136,6667,tcp,,3.118474,0.0,0.0,S0,0,S,3,180,0,0,Malicious
171,41202,80,tcp,http,1.958139,149.0,83792.0,SF,5792,ShADadtctfFR,67,4033,61,85524,Benign
172,49042,6667,tcp,irc,1.080627,75.0,243.0,S3,0,ShAdDaf,7,447,6,563,Malicious
173,49044,6667,tcp,irc,1.105621,74.0,242.0,S3,0,ShAdDaf,7,446,6,562,Malicious
174,41206,80,tcp,http,4.16038,149.0,103381.0,SF,5792,ShADadtctfF,75,4309,72,101341,Benign
175,41208,80,tcp,,3.118976,0.0,0.0,S0,0,S,3,180,0,0,Benign
176,49046,6667,tcp,irc,4.562408,75.0,243.0,S3,0,ShAdDaf,9,567,7,615,Malicious
177,49142,6667,tcp,,3.106482,0.0,0.0,S0,0,S,3,180,0,0,Malicious
178,49048,6667,tcp,irc,2.141281,75.0,243.0,S3,0,ShAdDaf,8,507,7,615,Malicious
179,41208,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
180,123,123,udp,,0.046954,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
181,49142,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
182,49144,6667,tcp,,3.104485,0.0,0.0,S0,0,S,3,180,0,0,Malicious
183,41208,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
184,123,123,udp,,,,,S0,0,D,1,76,0,0,Benign
185,49144,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
186,49146,6667,tcp,,3.102483,0.0,0.0,S0,0,S,3,180,0,0,Malicious
187,49146,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
188,41208,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
189,49152,6667,tcp,,3.12773,0.0,0.0,S0,0,S,3,180,0,0,Malicious
190,49152,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
191,49058,6667,tcp,irc,2.106538,75.0,243.0,S3,0,ShAdDaf,8,507,6,563,Malicious
192,49154,6667,tcp,,3.125718,0.0,0.0,S0,0,S,3,180,0,0,Malicious
193,49154,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
194,49064,6667,tcp,irc,1.085384,74.0,242.0,S3,0,ShAdDaf,7,446,6,562,Malicious
195,49062,6667,tcp,irc,1.085865,75.0,243.0,S3,0,ShAdDaf,8,499,6,563,Malicious
196,49066,6667,tcp,irc,2.080571,75.0,243.0,S3,0,ShAdDaf,8,507,6,563,Malicious
197,49068,6667,tcp,irc,1.102625,75.0,243.0,S3,0,ShAdDaf,7,447,6,563,Malicious
198,49160,6667,tcp,,3.104984,0.0,0.0,S0,0,S,3,180,0,0,Malicious
199,49070,6667,tcp,irc,1.108372,75.0,243.0,S3,0,ShAdDaf,7,447,6,563,Malicious
200,41208,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
201,49160,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
202,49162,6667,tcp,,3.102734,0.0,0.0,S0,0,S,3,180,0,0,Malicious
203,49076,6667,tcp,irc,1.103122,75.0,243.0,S3,0,ShAdDaf,7,447,6,563,Malicious
204,49074,6667,tcp,irc,1.080627,75.0,243.0,S3,0,ShAdDaf,8,499,6,563,Malicious
205,123,123,udp,,0.001494,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
206,49078,6667,tcp,irc,1.136107,75.0,243.0,S3,0,ShAdDaf,7,447,7,615,Malicious
207,49080,6667,tcp,irc,2.111047,75.0,243.0,S3,0,ShAdDaft,9,571,7,615,Malicious
208,49162,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
209,49164,6667,tcp,,3.100741,0.0,0.0,S0,0,S,3,180,0,0,Malicious
210,49082,6667,tcp,irc,0.939867,75.0,243.0,S3,0,ShAdDaf,7,447,6,563,Malicious
211,49164,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
212,49166,6667,tcp,,3.098492,0.0,0.0,S0,0,S,3,180,0,0,Malicious
213,49166,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
214,49168,6667,tcp,,3.096478,0.0,0.0,S0,0,S,3,180,0,0,Malicious
215,49168,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
216,49170,6667,tcp,,3.094494,0.0,0.0,S0,0,S,3,180,0,0,Malicious
217,49170,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
218,49092,6667,tcp,irc,4.141877,75.0,243.0,S3,0,ShAdDaf,9,567,6,563,Malicious
219,49172,6667,tcp,,3.092253,0.0,0.0,S0,0,S,3,180,0,0,Malicious
220,49172,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
221,49176,6667,tcp,,3.090257,0.0,0.0,S0,0,S,3,180,0,0,Malicious
222,41242,80,tcp,http,4.711562,150.0,110211.0,SF,0,ShADadttfF,82,4802,81,114431,Benign
223,41246,80,tcp,,3.081252,0.0,0.0,S0,0,S,3,180,0,0,Benign
224,49176,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
225,123,123,udp,,0.001499,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
226,49180,6667,tcp,,3.087983,0.0,0.0,S0,0,S,3,180,0,0,Malicious
227,41246,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
228,49180,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
229,41246,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
230,49182,6667,tcp,,3.085999,0.0,0.0,S0,0,S,3,180,0,0,Malicious
231,49100,6667,tcp,irc,4.087672,75.0,234.0,S3,0,ShAdDaf,11,671,7,606,Malicious
232,49102,6667,tcp,irc,4.219365,75.0,243.0,S3,0,ShAdDaf,9,567,7,615,Malicious
233,49184,6667,tcp,,3.082245,0.0,0.0,S0,0,S,3,180,0,0,Malicious
234,49184,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
235,41246,80,tcp,http,1.160585,151.0,112443.0,SF,5792,ShADacdtfF,78,4395,78,110715,Benign
236,49186,6667,tcp,,3.08024,0.0,0.0,S0,0,S,3,180,0,0,Malicious
237,49186,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
238,49188,6667,tcp,,3.15795,0.0,0.0,S0,0,S,3,180,0,0,Malicious
239,123,123,udp,,,,,S0,0,D,1,76,0,0,Benign
240,49194,6667,tcp,,3.13422,0.0,0.0,S0,0,S,3,180,0,0,Malicious
241,49194,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
242,49196,6667,tcp,,3.131232,0.0,0.0,S0,0,S,3,180,0,0,Malicious
243,49112,6667,tcp,irc,0.929956,75.0,243.0,S3,0,ShAdDaf,7,447,6,563,Malicious
244,123,123,udp,,0.039212,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
245,49196,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
246,49198,6667,tcp,,3.129217,0.0,0.0,S0,0,S,3,180,0,0,Malicious
247,49198,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
248,49200,6667,tcp,,3.12747,0.0,0.0,S0,0,S,3,180,0,0,Malicious
249,49200,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
250,49122,6667,tcp,irc,4.083416,75.0,243.0,S3,0,ShAdDaf,9,567,6,563,Malicious
251,49216,6667,tcp,irc,1.016172,60.0,124.0,RSTR,0,ShAdfDr,5,328,4,328,Malicious
252,49218,6667,tcp,irc,1.01842,60.0,124.0,RSTR,0,ShAdfDr,5,328,4,328,Malicious
253,49232,6667,tcp,,3.157953,0.0,0.0,S0,0,S,3,180,0,0,Malicious
254,123,123,udp,,0.002745,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
255,49232,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
256,49234,6667,tcp,,3.154717,0.0,0.0,S0,0,S,3,180,0,0,Malicious
257,49132,6667,tcp,irc,2.150024,75.0,243.0,S3,0,ShAdDaf,8,499,7,615,Malicious
258,49234,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
259,49236,6667,tcp,,3.147708,0.0,0.0,S0,0,S,3,180,0,0,Malicious
260,49136,6667,tcp,irc,1.019934,75.0,243.0,S3,0,ShAdDaf,7,447,6,563,Malicious
261,49236,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
262,49238,6667,tcp,,3.143966,0.0,0.0,S0,0,S,3,180,0,0,Malicious
263,49238,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
264,49240,6667,tcp,,3.141963,0.0,0.0,S0,0,S,3,180,0,0,Malicious
265,49240,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
266,49242,6667,tcp,,3.13996,0.0,0.0,S0,0,S,3,180,0,0,Malicious
267,49148,6667,tcp,irc,2.080597,75.0,243.0,S3,0,ShAdDaf,8,507,6,563,Malicious
268,49242,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
269,49150,6667,tcp,irc,1.66157,75.0,243.0,S3,0,ShAdDaf,7,447,7,615,Malicious
270,49244,6667,tcp,,3.137972,0.0,0.0,S0,0,S,3,180,0,0,Malicious
271,49244,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
272,123,123,udp,,0.001734,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
273,49246,6667,tcp,,3.132727,0.0,0.0,S0,0,S,3,180,0,0,Malicious
274,49246,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
275,49156,6667,tcp,irc,1.083387,75.0,243.0,S3,0,ShAdDaf,7,447,6,563,Malicious
276,49158,6667,tcp,irc,4.221601,75.0,243.0,S3,0,ShAdDaf,9,567,7,615,Malicious
277,49252,6667,tcp,,3.130481,0.0,0.0,S0,0,S,3,180,0,0,Malicious
278,49252,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
279,49254,6667,tcp,,3.128209,0.0,0.0,S0,0,S,3,180,0,0,Malicious
280,49254,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
281,49260,6667,tcp,,3.128457,0.0,0.0,S0,0,S,3,180,0,0,Malicious
282,49260,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
283,123,123,udp,,,,,S0,0,D,1,76,0,0,Benign
284,123,123,udp,,0.001482,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
285,49272,6667,tcp,,3.143209,0.0,0.0,S0,0,S,3,180,0,0,Malicious
286,49278,6667,tcp,,3.102733,0.0,0.0,S0,0,S,3,180,0,0,Malicious
287,49278,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
288,49286,6667,tcp,,3.108978,0.0,0.0,S0,0,S,3,180,0,0,Malicious
289,49286,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
290,49288,6667,tcp,,3.099733,0.0,0.0,S0,0,S,3,180,0,0,Malicious
291,49182,6667,tcp,irc,0.959951,75.0,243.0,S3,0,ShAdDaf,7,447,6,563,Malicious
292,49288,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
293,49290,6667,tcp,,3.097997,0.0,0.0,S0,0,S,3,180,0,0,Malicious
294,49290,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
295,49292,6667,tcp,,3.083488,0.0,0.0,S0,0,S,3,180,0,0,Malicious
296,49292,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
297,123,123,udp,,0.001498,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
298,49296,6667,tcp,,3.114245,0.0,0.0,S0,0,S,3,180,0,0,Malicious
299,49188,6667,tcp,irc,1.280022,75.0,243.0,S3,0,ShAdDaf,7,447,7,615,Malicious
300,49190,6667,tcp,irc,2.12779,75.0,243.0,S3,0,ShAdDaf,8,507,6,563,Malicious
301,49192,6667,tcp,irc,4.185616,75.0,243.0,S3,0,ShAdDaft,10,631,7,615,Malicious
302,49296,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
303,49298,6667,tcp,,3.112482,0.0,0.0,S0,0,S,3,180,0,0,Malicious
304,49298,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
305,49300,6667,tcp,,3.110483,0.0,0.0,S0,0,S,3,180,0,0,Malicious
306,49300,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
307,49302,6667,tcp,,3.108479,0.0,0.0,S0,0,S,3,180,0,0,Malicious
308,49302,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
309,123,123,udp,,,,,S0,0,D,1,76,0,0,Benign
310,49314,6667,tcp,,3.133715,0.0,0.0,S0,0,S,3,180,0,0,Malicious
311,49202,6667,tcp,irc,4.081429,75.0,243.0,S3,0,ShAdDaf,10,619,6,563,Malicious
312,49204,6667,tcp,irc,4.085419,75.0,243.0,S3,0,ShAdDaf,9,567,6,563,Malicious
313,49206,6667,tcp,irc,2.140532,75.0,243.0,S3,0,ShAdDaf,8,507,7,615,Malicious
314,49316,6667,tcp,,3.114725,0.0,0.0,S0,0,S,3,180,0,0,Malicious
315,49208,6667,tcp,irc,4.085218,74.0,242.0,S3,0,ShAdDaf,9,566,6,562,Malicious
316,123,123,udp,,0.081217,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
317,49210,6667,tcp,irc,2.037089,75.0,243.0,S3,0,ShAdDaft,9,571,6,563,Malicious
318,49316,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
319,49214,6667,tcp,irc,1.102622,75.0,243.0,S3,0,ShAdDaf,7,447,6,563,Malicious
320,49212,6667,tcp,irc,2.079816,75.0,243.0,S3,0,ShAdDaf,9,559,6,563,Malicious
321,49318,6667,tcp,,3.112737,0.0,0.0,S0,0,S,3,180,0,0,Malicious
322,49220,6667,tcp,irc,4.076679,75.0,243.0,S3,0,ShAdDaf,9,567,6,563,Malicious
323,49318,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
